,new_cases
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,2.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,1.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,1.0
2020-02-02,2.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,0.0
2020-02-06,3.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,0.0
2020-02-10,3.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,0.0
2020-02-14,3.0
2020-02-15,7.0
2020-02-16,7.0
2020-02-17,15.0
2020-02-18,9.0
2020-02-19,10.0
2020-02-20,13.0
2020-02-21,11.0
2020-02-22,13.0
2020-02-23,16.0
2020-02-24,26.0
2020-02-25,31.0
2020-02-26,29.0
2020-02-27,27.0
2020-02-28,40.0
2020-02-29,24.0
2020-03-01,89.0
2020-03-02,82.0
2020-03-03,100.0
2020-03-04,187.0
2020-03-05,153.0
2020-03-06,141.0
2020-03-07,220.0
2020-03-08,267.0
2020-03-09,367.0
2020-03-10,441.0
2020-03-11,527.0
2020-03-12,682.0
2020-03-13,1025.0
2020-03-14,915.0
2020-03-15,1251.0
2020-03-16,1569.0
2020-03-17,3613.0
2020-03-18,3171.0
2020-03-19,4671.0
2020-03-20,6255.0
2020-03-21,6885.0
2020-03-22,9259.0
2020-03-23,11442.0
2020-03-24,10632.0
2020-03-25,12873.0
2020-03-26,17656.0
2020-03-27,19044.0
2020-03-28,19724.0
2020-03-29,19655.0
2020-03-30,21897.0
2020-03-31,24694.0
2020-04-01,25773.0
2020-04-02,27992.0
2020-04-03,31945.0
2020-04-04,33252.0
2020-04-05,25550.0
2020-04-06,28937.0
2020-04-07,30737.0
2020-04-08,30534.0
2020-04-09,34419.0
2020-04-10,34351.0
2020-04-11,30561.0
2020-04-12,27844.0
2020-04-13,25133.0
2020-04-14,25631.0
2020-04-15,30298.0
2020-04-16,30923.0
2020-04-17,31964.0
2020-04-18,27963.0
2020-04-19,27468.0
2020-04-20,25872.0
2020-04-21,26333.0
2020-04-22,28916.0
2020-04-23,31784.0
2020-04-24,34174.0
2020-04-25,35901.0
2020-04-26,27380.0
2020-04-27,22605.0
2020-04-28,25219.0
2020-04-29,26641.0
2020-04-30,29568.0
2020-05-01,33056.0
2020-05-02,29185.0
2020-05-03,25767.0
2020-05-04,22523.0
2020-05-05,22449.0
2020-05-06,25056.0
2020-05-07,27490.0
2020-05-08,27605.0
2020-05-09,24810.0
2020-05-10,21504.0
2020-05-11,18236.0
2020-05-12,22663.0
2020-05-13,21193.0
2020-05-14,26705.0
2020-05-15,24710.0
2020-05-16,24701.0
2020-05-17,20171.0
2020-05-18,20992.0
2020-05-19,20853.0
2020-05-20,21319.0
2020-05-21,26513.0
2020-05-22,24555.0
2020-05-23,21590.0
2020-05-24,20105.0
2020-05-25,18798.0
2020-05-26,16629.0
2020-05-27,19385.0
2020-05-28,22601.0
2020-05-29,23522.0
2020-05-30,23762.0
2020-05-31,21639.0
2020-06-01,20415.0
2020-06-02,19982.0
2020-06-03,20312.0
2020-06-04,20839.0
2020-06-05,23352.0
2020-06-06,23106.0
2020-06-07,18823.0
2020-06-08,17012.0
2020-06-09,17175.0
2020-06-10,20803.0
2020-06-11,22032.0
2020-06-12,23477.0
2020-06-13,25341.0
2020-06-14,21373.0
2020-06-15,18510.0
2020-06-16,23435.0
2020-06-17,23873.0
2020-06-18,27527.0
2020-06-19,31046.0
2020-06-20,31994.0
2020-06-21,27284.0
2020-06-22,27017.0
2020-06-23,33021.0
2020-06-24,38684.0
2020-06-25,39072.0
2020-06-26,44421.0
2020-06-27,43783.0
2020-06-28,41857.0
2020-06-29,39175.0
2020-06-30,47462.0
2020-07-01,50674.0
2020-07-02,53826.0
2020-07-03,54223.0
2020-07-04,54734.0
2020-07-05,45789.0
2020-07-06,41600.0
2020-07-07,51766.0
2020-07-08,62147.0
2020-07-09,58836.0
2020-07-10,66645.0
2020-07-11,63007.0
2020-07-12,60978.0
2020-07-13,58465.0
2020-07-14,62879.0
2020-07-15,65382.0
2020-07-16,70953.0
2020-07-17,77233.0
2020-07-18,65180.0
2020-07-19,64884.0
2020-07-20,56971.0
2020-07-21,63642.0
2020-07-22,69150.0
2020-07-23,71354.0
2020-07-24,75204.0
2020-07-25,65075.0
2020-07-26,61713.0
2020-07-27,55134.0
2020-07-28,56229.0
2020-07-29,66969.0
2020-07-30,69466.0
2020-07-31,67755.0
2020-08-01,60692.0
2020-08-02,48266.0
2020-08-03,49561.0
2020-08-04,51568.0
2020-08-05,52265.0
2020-08-06,54184.0
2020-08-07,61520.0
2020-08-08,53923.0
